Rank,AVG Max Temp,City,State,Population
1,88.45 F,North Shore, CA,"3,184"
2,88.34 F,Yuma, AZ,"93,078"
3,88.29 F,Rancho Mesa Verde, AZ,696
4,88.29 F,Orange Grove Mobile Manor, AZ,600
5,88.29 F,Padre Ranchitos, AZ,345
6,88.29 F,Drysdale, AZ,175
6,88.29 F,Somerton, AZ,"14,679"
8,88.29 F,Wall Lane, AZ,754
9,88.29 F,Gadsden, AZ,714
10,88.29 F,Donovan Estates, AZ,"1,351"
11,88.29 F,Avenue B And C, AZ,"4,059"
12,88.29 F,Winterhaven, CA,151
13,88.28 F,San Luis, AZ,"30,139"
14,88.25 F,Roll, AZ,0
15,88.18 F,Bombay Beach, CA,171
16,88.17 F,Bard, CA,0
17,88.16 F,Buckshot, AZ,153
18,88.16 F,El Prado Estates, AZ,337
19,88.16 F,Tacna, AZ,605
20,88.15 F,Wellton, AZ,"2,934"
21,88.15 F,Wellton Hills, AZ,243
22,88.11 F,Fortuna Foothills, AZ,"27,181"
23,88.08 F,Martinez Lake, AZ,43
24,88.07 F,Ajo, AZ,"3,787"
25,88.04 F,Gila Bend, AZ,"1,965"
26,87.96 F,Desert Shores, CA,"1,039"
27,87.88 F,Salton Sea Beach, CA,757
28,87.88 F,Niland, CA,"1,063"
29,87.85 F,Holtville, CA,"6,067"
30,87.84 F,Brawley, CA,"25,478"
31,87.83 F,Why, AZ,167
32,87.81 F,El Centro, CA,"43,268"
33,87.81 F,Calipatria, CA,"7,599"
34,87.80 F,Charco, AZ,23
35,87.77 F,Imperial, CA,"15,782"
36,87.71 F,Westmorland, CA,"1,747"
37,87.62 F,Ehrenberg, AZ,"1,017"
38,87.60 F,Theba, AZ,158
39,87.58 F,La Paz Valley, AZ,644
40,87.57 F,Tat Momoli, AZ,10
41,87.56 F,Quartzsite, AZ,"3,646"
42,87.55 F,Blythe, CA,"20,101"
43,87.52 F,Brenda, AZ,416
44,87.46 F,Lukeville, AZ,0
45,87.45 F,Crystal Beach, AZ,177
46,87.44 F,Desert Hills, AZ,"2,508"
47,87.43 F,Lake Havasu City, AZ,"52,827"
48,87.41 F,Vaiva Vo, AZ,35
49,87.37 F,Wahak Hotrontk, AZ,38
50,87.37 F,Chuichu, AZ,260
51,87.31 F,Poston, AZ,346
52,87.29 F,Arizona City, AZ,"9,573"
53,87.28 F,Eloy, AZ,"17,062"
54,87.27 F,Parker Dam, CA,0
55,87.27 F,Dateland, AZ,317
56,87.24 F,Vidal, CA,0
57,87.23 F,Earp, CA,0
58,87.23 F,Big River, CA,"1,061"
59,87.22 F,Kaka, AZ,99
60,87.22 F,Bouse, AZ,662
61,87.21 F,Ventana, AZ,53
62,87.20 F,Utting, AZ,99
63,87.20 F,Maricopa, AZ,"45,388"
64,87.17 F,Vicksburg, AZ,"1,025"
65,87.14 F,Bluewater, CA,174
66,87.14 F,Bluewater, AZ,723
67,87.14 F,Cienega Springs, AZ,"1,897"
68,87.12 F,Mesa Verde, CA,"1,004"
69,87.11 F,Parker, AZ,"3,057"
70,87.10 F,Ak-Chin Village, AZ,"1,195"
71,87.07 F,Cibola, AZ,285
72,87.04 F,Ripley, CA,659
73,87.02 F,Palo Verde, CA,17
74,87.00 F,Goodyear, AZ,"70,148"
75,87.00 F,Kohatk, AZ,21
76,86.97 F,St. Johns, AZ,316
77,86.97 F,Red Rock CDP, AZ,"2,169"
78,86.95 F,Picacho, AZ,330
79,86.92 F,Stanfield, AZ,151
80,86.92 F,Parker Strip, AZ,548
81,86.90 F,Komatke, AZ,"1,418"
82,86.89 F,Gila Crossing, AZ,544
83,86.88 F,Santa Cruz, AZ,37
84,86.85 F,Oasis, CA,"5,807"
85,86.81 F,Maish Vaya, AZ,117
86,86.81 F,Sweet Water Village, AZ,353
87,86.80 F,Stotonic Village, AZ,306
88,86.79 F,Maricopa Colony, AZ,547
89,86.79 F,Casa Grande, AZ,"50,316"
90,86.78 F,Sacate Village, AZ,211
91,86.77 F,Desert Center, CA,208
92,86.76 F,Anegam, AZ,77
93,86.76 F,Casa Blanca, AZ,"1,848"
94,86.75 F,Santa Rosa, AZ,654
95,86.74 F,Ak Chin, AZ,25
96,86.73 F,Salton City, CA,"3,867"
97,86.71 F,Upper Santan Village, AZ,460
98,86.69 F,Sacaton, AZ,"3,131"
99,86.68 F,Guadalupe, AZ,"5,892"
100,86.67 F,Aztec, AZ,3
101,86.67 F,Blackwater, AZ,"1,246"
102,86.64 F,Wet Camp Village, AZ,277
103,86.63 F,Goodyear Village, AZ,496
104,86.63 F,Sun Lakes, AZ,"13,885"
105,86.62 F,Avondale, AZ,"77,912"
106,86.61 F,Avra Valley, AZ,"4,919"
107,86.61 F,Florence, AZ,"26,513"
108,86.60 F,Lower Santan Village, AZ,525
109,86.60 F,Nelson, AZ,954
110,86.58 F,Valley Farms, AZ,0
111,86.57 F,Tempe, AZ,"166,975"
112,86.55 F,Bapchule, AZ,0
113,86.54 F,Coolidge, AZ,"12,058"
114,86.51 F,Marana, AZ,"37,028"
115,86.49 F,Ali Chuk, AZ,119
116,86.45 F,Laveen, AZ,0
117,86.43 F,Ko Vaya, AZ,46
118,86.40 F,Topock, AZ,12
119,86.38 F,Salome, AZ,"1,467"
120,86.34 F,Sacaton Flats Village, AZ,436
121,86.34 F,Chandler, AZ,"245,231"
122,86.32 F,San Tan Valley, AZ,"86,743"
123,86.31 F,Nolic, AZ,37
124,86.31 F,Thermal, CA,"3,570"
125,86.21 F,Queen Creek, AZ,"28,529"
126,86.20 F,Palo Verde, AZ,0
127,86.19 F,El Brazil, TX,59
128,86.19 F,La Carla, TX,137
129,86.19 F,Martinez, TX,69
129,86.19 F,Sammy Martinez, TX,107
131,86.18 F,Regino Ramirez, TX,83
132,86.18 F,Casas, TX,25
133,86.16 F,La Minita, TX,196
134,86.16 F,Los Arrieros, TX,53
135,86.16 F,Salineno North, TX,26
136,86.16 F,Jardin De San Julian, TX,26
137,86.15 F,La Loma De Falcon, TX,149
138,86.15 F,Indio, TX,50
139,86.15 F,Salineno, TX,89
140,86.15 F,Falconaire, TX,58
141,86.14 F,Chapeno, TX,63
142,86.14 F,Higley, AZ,0
143,86.13 F,Mesa, AZ,"452,091"
144,86.12 F,Vista Santa Rosa, CA,"2,815"
145,86.12 F,Cactus Forest, AZ,491
146,86.12 F,Pisinemo, AZ,428
147,86.07 F,Coachella, CA,"42,576"
148,86.04 F,Fronton, TX,93
149,86.04 F,Sandoval, TX,9
150,86.04 F,Sunset Colonia, TX,19
151,86.04 F,Guadalupe-Guerra, TX,19
152,86.03 F,Ramos, TX,90
153,86.03 F,Fronton Ranchettes, TX,200
154,86.03 F,Evergreen Colonia, TX,73
155,86.03 F,Roma Creek, TX,371
156,86.03 F,Northridge, TX,78
157,86.03 F,North Escobares, TX,217
158,86.03 F,Jf Villarreal, TX,33
159,86.03 F,Loma Vista Colonia, TX,196
160,86.03 F,Roma-Los Saenz, TX,"9,938"
161,86.03 F,Moraida, TX,202
162,86.03 F,Pena, TX,125
163,86.03 F,Escobar I, TX,324
163,86.03 F,Rivera, TX,162
165,86.02 F,Mesquite CDP, TX,454
165,86.02 F,Old Escobares, TX,97
167,86.02 F,Escobares, TX,"2,003"
168,86.02 F,San Juan Colonia, TX,223
169,86.02 F,Garceno, TX,499
170,86.02 F,Loma Linda West, TX,31
171,86.02 F,La Rosita, TX,64
172,86.02 F,Miguel Barrera, TX,425
173,86.02 F,La Chuparosa, TX,49
173,86.02 F,Los Ebanos Colonia, TX,568
173,86.02 F,Rancho Viejo CDP, TX,331
173,86.02 F,West Alto Bonito Colonia, TX,845
177,86.02 F,El Cenizo Colonia, TX,386
178,86.02 F,Hilltop Colonia, TX,30
179,86.02 F,Tierra Dorada, TX,8
180,86.02 F,La Esperanza, TX,17
181,86.02 F,Los Barreras, TX,269
182,86.02 F,Campo Verde, TX,152
183,86.02 F,Anacua, TX,12
183,86.02 F,Benjamin Perez, TX,34
185,86.02 F,Flor Del Rio, TX,110
186,86.02 F,Manuel Garcia Ii, TX,238
187,86.02 F,El Quiote, TX,204
188,86.02 F,Barrera, TX,108
189,86.02 F,Palo Blanco, TX,173
