Rank,Crime Index,City,State,Population
1,"199,187",Vernon, CA,59
2,"126,554",Industry, CA,384
3,"77,686",Lakeside, CO,4
4,"45,187",Black Hawk, CO,130
5,"36,704",Teterboro, NJ,56
6,"34,984",Sauget, IL,318
7,"20,916",Fruitport, MI,"1,270"
8,"17,831",Mackinac Island, MI,600
9,"16,507",Ocean Beach, NY,59
10,"14,056",Mangonia Park, FL,"1,758"
11,"13,164",Dewey Beach, DE,254
12,"13,134",Brooklyn, IL,807
13,"12,990",Garden City, CO,223
14,"12,200",Medley, FL,940
15,"12,157",Sand City, CA,355
16,"11,623",Duck, NC,497
17,"10,488",East Saint Louis, IL,"26,697"
18,"10,358",South Padre Island, TX,"2,886"
19,"9,405",Mccook, IL,212
20,"8,896",South Tucson, AZ,"5,675"
21,"8,747",Ocean Isle Beach, NC,659
22,"8,492",Wellston, MO,"2,010"
23,"8,431",Atlantic Beach, SC,267
24,"8,156",Kinloch, MO,234
25,"8,130",Ocean City, MD,"7,093"
26,"7,920",Newington, NH,0
27,"7,817",West Buechel, KY,"1,245"
28,"7,794",Myrtle Beach, SC,"28,455"
29,"7,770",Cairo, IL,"2,688"
30,"7,753",Santee, SC,"1,004"
31,"7,576",Irwindale, CA,"1,530"
32,"7,485",Opa Locka, FL,"15,867"
33,"7,468",Mcintosh, AL,415
34,"7,429",Linndale, OH,190
35,"7,322",Florida City, FL,"11,853"
36,"7,188",Tukwila, WA,"19,573"
37,"7,145",Pineville, NC,"7,855"
38,"7,126",Brian Head, UT,50
39,"7,000",Lumberton, NC,"21,707"
40,"6,935",College Park, GA,"14,019"
41,"6,844",Balcones Heights, TX,"2,825"
42,"6,833",Anniston, AL,"22,749"
43,"6,807",Darby, PA,"10,689"
44,"6,770",Hammond, LA,"20,207"
45,"6,722",Logan, WV,"1,896"
46,"6,694",Bessemer, AL,"27,202"
47,"6,633",Hartsville, SC,"7,857"
48,"6,415",Dillon, SC,"6,731"
49,"6,413",Colma, CA,"1,837"
50,"6,292",Washington Park, IL,"4,120"
51,"6,252",West Memphis, AR,"25,767"
52,"6,188",Seven Springs, PA,16
53,"6,169",Saint Louis, MO,"318,727"
54,"6,159",East Ellijay, GA,997
55,"6,041",Emeryville, CA,"10,497"
56,"6,019",Wildwood, NJ,"5,255"
57,"6,011",Cocoa, FL,"17,261"
58,"6,008",Selma, AL,"20,276"
59,"5,970",Camden, NJ,"77,294"
60,"5,970",Zeigler, IL,"1,850"
