Rank,Land Area (sq mi),City,State,Population
13206,2.18,'ewa Gentry, HI,"22,663"
18467,1.13,'ewa Villages, HI,"7,141"
10356,3.17,'ualapu'e, HI,445
20642,0.89,Aaronsburg, PA,687
23657,0.55,Aaronsburg CDP, PA,266
10790,3,Abanda, AL,43
2258,15.54,Abbeville, AL,"2,654"
5995,6.12,Abbeville, SC,"5,207"
6059,6.04,Abbeville, LA,"12,341"
9690,3.46,Abbeville, MS,512
10652,3.06,Abbeville, GA,"2,874"
11535,2.71,Abbotsford, WI,"2,134"
23043,0.61,Abbott, TX,431
23710,0.55,Abbottstown, PA,917
27861,0.19,Abbyville, KS,106
23044,0.61,Abercrombie, ND,251
2268,15.5,Aberdeen, SD,"26,979"
2985,12.09,Aberdeen, MS,"5,492"
3441,10.65,Aberdeen, WA,"16,544"
4360,8.51,Aberdeen, NC,"6,702"
5441,6.8,Aberdeen, MD,"15,137"
17034,1.35,Aberdeen, OH,"1,617"
17597,1.26,Aberdeen, IN,"1,831"
19280,1.03,Aberdeen, ID,"2,047"
15552,1.62,Aberdeen Gardens, WA,236
3283,11.11,Aberdeen Proving Ground, MD,"2,411"
17811,1.22,Abernathy, TX,"3,247"
17755,1.23,Abeytas, NM,60
28705,0.11,Abie, NE,110
159,106.79,Abilene, TX,"120,776"
7613,4.68,Abilene, KS,"6,729"
4618,8.07,Abingdon, VA,"8,176"
16418,1.46,Abingdon, IL,"2,777"
3835,9.65,Abington, MA,"16,081"
20139,0.95,Abiquiu, NM,57
7916,4.48,Abita Springs, LA,"2,512"
9840,3.39,Abram, TX,"1,927"
21163,0.82,Abrams, WI,384
13379,2.13,Absarokee, MT,"1,074"
6712,5.4,Absecon, NJ,"8,400"
28980,0.07,Acacia Villas, FL,614
24592,0.46,Acalanes Ridge, CA,"1,226"
20243,0.94,Acampo, CA,776
24282,0.49,Accident, MD,309
1114,27.43,Accokeek, MD,"10,806"
25392,0.38,Accomac, VA,485
9816,3.4,Accord, NY,765
10099,3.27,Accoville, WV,460
25059,0.42,Acequia, ID,123
25483,0.38,Achille, OK,493
26276,0.31,Ackerly, TX,122
12951,2.25,Ackerman, MS,"1,816"
16902,1.37,Ackermanville, PA,687
12270,2.45,Ackley, IA,"1,546"
26517,0.29,Ackworth, IA,39
5971,6.14,Acme, WA,310
9758,3.42,Acomita Lake, NM,377
23108,0.6,Acres Green, CO,"3,035"
636,39.26,Acton, CA,"6,956"
16649,1.42,Acushnet Center, MA,"2,786"
4515,8.24,Acworth, GA,"21,169"
1713,19.72,Ada, OK,"17,061"
12000,2.54,Ada, KS,53
13568,2.08,Ada, OH,"6,112"
16795,1.39,Ada, MN,"1,702"
7207,4.99,Adair, OK,738
13135,2.2,Adair, IA,890
24936,0.43,Adair, IL,214
27398,0.23,Adair Village, OR,881
4051,9.11,Adairsville, GA,"4,692"
18479,1.12,Adairville, KY,"1,150"
793,33.98,Adak, AK,114
10911,2.95,Adams, WI,"1,570"
11618,2.68,Adams, TN,836
12919,2.26,Adams, MA,"5,460"
16491,1.45,Adams, NY,"1,612"
19524,1.01,Adams, MN,717
19683,1,Adams, ND,138
23327,0.58,Adams, NE,560
25746,0.36,Adams, OR,356
7382,4.86,Adams Center, NY,"1,996"
26654,0.28,Adamsburg, PA,259
10060,3.29,Adamstown, MD,"2,628"
16852,1.38,Adamstown, PA,"1,733"
1255,25.13,Adamsville, AL,"4,472"
5401,6.86,Adamsville, TN,"1,909"
27927,0.18,Adamsville, PA,62
29114,0.05,Adamsville, OH,126
19032,1.05,Addieville, IL,280
27317,0.24,Addington, OK,110
8322,4.2,Addis, LA,"4,004"
3788,9.77,Addison, IL,"37,215"
8051,4.38,Addison, TX,"14,594"
9115,3.77,Addison, AL,913
14343,1.89,Addison, NY,"1,809"
20117,0.96,Addison, MI,650
23742,0.54,Addison, PA,198
24719,0.45,Addison, WV,"1,133"
25760,0.35,Addy, WA,86
20933,0.85,Addyston, OH,970
4623,8.06,Adel, GA,"5,294"
10088,3.27,Adel, IA,"3,940"
367,56.01,Adelanto, CA,"31,773"
26880,0.26,Adeline, IL,72
11401,2.75,Adelino, NM,809
23587,0.56,Adell, WI,465
11441,2.74,Adelphi, MD,"15,885"
26718,0.27,Adelphi, OH,399
23803,0.54,Adena, OH,689
9730,3.44,Adin, CA,215
26008,0.33,Admire, KS,120
20194,0.94,Adona, AR,114
4677,7.95,Adrian, MI,"21,008"
13510,2.09,Adrian, MO,"2,098"
16869,1.37,Adrian, GA,532
18579,1.11,Adrian, MN,"1,239"
24484,0.47,Adrian, TX,218
27217,0.24,Adrian, OR,163
5177,7.16,Advance, NC,"1,145"
11499,2.72,Advance, MI,269
18530,1.12,Advance, MO,"1,465"
22915,0.62,Advance, IN,488
4371,8.49,Adwolf, VA,"1,630"
28458,0.13,Aetna Estates, CO,"1,031"
7715,4.6,Affton, MO,"21,358"
1261,25.05,Afton, MN,"2,912"
8364,4.18,Afton, WY,"2,065"
13815,2.02,Afton, OK,930
16042,1.53,Afton, NY,"1,082"
19824,0.99,Afton, IA,917
28131,0.16,Agar, SD,58
1379,23.31,Agawam Town, MA,"28,626"
8240,4.25,Agency, MO,840
22660,0.65,Agency, IA,694
6404,5.71,Agency Village, SD,150
28221,0.15,Agenda, KS,87
4782,7.79,Agoura Hills, CA,"20,630"
25501,0.37,Agra, OK,314
26854,0.27,Agra, KS,268
1423,22.84,Agua Dulce, CA,"2,898"
25912,0.34,Agua Dulce, TX,722
4778,7.8,Agua Dulce CDP, TX,"2,926"
12001,2.54,Agua Fria, NM,"3,255"
2615,13.6,Aguanga, CA,897
15823,1.57,Aguila, AZ,901
25304,0.39,Aguilar, CO,563
26423,0.3,Aguilares, TX,50
29019,0.07,Ahmeek, MI,128
8166,4.31,Ahoskie, NC,"5,017"
4767,7.82,Ahtanum, WA,"3,785"
11573,2.69,Ahuimanu, HI,"8,728"
3668,10.02,Ahwahnee, CA,"2,165"
15376,1.66,Aiea, HI,"9,181"
1608,20.7,Aiken, SC,"29,980"
13835,2.01,Ailey, GA,595
14021,1.97,Ainaloa, HI,"3,645"
19625,1,Ainsworth, NE,"1,786"
25495,0.38,Ainsworth, IA,589
3685,9.99,Air Force Academy, CO,"6,046"
7664,4.64,Airmont, NY,"8,770"
23289,0.59,Airport, CA,"1,547"
13880,2,Airport Drive, MO,835
29165,0.04,Airport Heights, TX,95
13420,2.11,Airport Road Addition, TX,67
6466,5.63,Airway Heights, WA,"6,356"
13111,2.2,Aitkin, MN,"2,351"
827,33.33,Ajo, AZ,"3,787"
23904,0.53,Ak Chin, AZ,25
3457,10.58,Ak-Chin Village, AZ,"1,195"
23025,0.61,Akaska, SD,35
16357,1.47,Akeley, MN,376
4799,7.77,Akhiok, AK,103
4932,7.54,Akiachak, AK,590
13488,2.1,Akiak, AK,407
2616,13.6,Akins, OK,481
304,62.03,Akron, OH,"198,492"
11754,2.63,Akron, CO,"1,906"
14012,1.98,Akron, NY,"2,850"
17815,1.22,Akron, PA,"3,923"
17848,1.22,Akron, IA,"1,364"
20209,0.94,Akron, MI,397
22369,0.69,Akron, AL,302
24631,0.46,Akron, IN,"1,337"
2567,13.83,Akutan, AK,879
1263,25.04,Alabaster, AL,"30,978"
758,34.75,Alachua, FL,"9,291"
662,37.96,Alafaya, FL,"85,561"
995,29.53,Alakanuk, AK,733
21797,0.75,Alamance, NC,786
3449,10.61,Alameda, CA,"75,763"
17948,1.2,Alamillo, NM,162
637,39.17,Alamo, NM,707
953,30.28,Alamo, NV,939
3830,9.67,Alamo, CA,"15,639"
5206,7.1,Alamo, TX,"18,907"
13141,2.2,Alamo, TN,"2,423"
14081,1.96,Alamo, GA,"4,701"
23690,0.55,Alamo, ND,62
29030,0.07,Alamo, IN,59
14567,1.84,Alamo Heights, TX,"7,397"
535,43.94,Alamo Lake, AZ,22
1547,21.43,Alamogordo, NM,"31,224"
6716,5.39,Alamosa, CO,"9,427"
9407,3.61,Alamosa East, CO,"1,671"
19812,0.99,Alanson, MI,585
19288,1.03,Alapaha, GA,684
693,36.59,Alatna, AK,2
11490,2.72,Alba, MI,318
19035,1.05,Alba, TX,801
22488,0.67,Alba, PA,103
26071,0.33,Alba, MO,561
388,55.13,Albany, GA,"76,946"
1553,21.39,Albany, NY,"98,287"
1945,17.54,Albany, OR,"51,210"
3320,10.99,Albany, WY,40
8492,4.11,Albany, OK,115
12298,2.44,Albany, MO,"2,125"
12940,2.25,Albany, KY,"1,743"
13456,2.11,Albany, MN,"2,599"
14801,1.79,Albany, CA,"19,020"
14969,1.75,Albany, IN,"1,849"
15842,1.57,Albany, TX,"2,307"
15964,1.54,Albany, VT,204
17432,1.28,Albany, WI,"1,167"
17655,1.25,Albany, OH,"1,202"
18496,1.12,Albany, LA,"1,545"
18865,1.07,Albany, IL,"1,047"
28469,0.13,Albee, SD,7
2055,16.74,Albemarle, NC,"15,924"
20970,0.85,Albers, IL,"1,163"
27289,0.24,Albert, KS,158
23762,0.54,Albert City, IA,672
2857,12.59,Albert Lea, MN,"17,931"
13346,2.13,Alberta, VA,279
26802,0.27,Alberta, MN,104
23451,0.57,Alberton, MT,476
22420,0.68,Albertson, NY,"5,154"
1177,26.56,Albertville, AL,"21,363"
8064,4.37,Albertville, MN,"7,159"
10298,3.19,Albia, IA,"3,788"
28293,0.15,Albin, WY,180
8014,4.41,Albion, MI,"8,416"
10981,2.92,Albion, NY,"5,799"
13298,2.15,Albion, IL,"2,139"
14278,1.91,Albion, IN,"2,347"
14683,1.82,Albion, CA,295
18810,1.08,Albion, PA,"1,526"
19837,0.99,Albion, NE,"1,721"
23189,0.6,Albion, IA,430
24466,0.47,Albion, ID,210
25747,0.36,Albion, WA,546
27264,0.24,Albion, OK,83
27365,0.23,Albright, WV,295
19517,1.01,Albrightsville, PA,154
70,187.73,Albuquerque, NM,"553,576"
22762,0.64,Alburg, VT,497
21224,0.82,Alburnett, IA,612
22193,0.71,Alburtis, PA,"2,372"
24031,0.52,Alcalde, NM,300
96,151.3,Alcan Border, AK,33
26040,0.33,Alcester, SD,785
2396,14.73,Alcoa, TN,"8,556"
7813,4.55,Alcolu, SC,596
