Rank,Population Growth Rate,City,State,Population
182,358.86%,'ewa Gentry, HI,"22,663"
2928,50.62%,'ewa Villages, HI,"7,141"
26431,-25.96%,'ualapu'e, HI,445
3660,41.65%,Aaronsburg, PA,687
19082,-3.97%,Aaronsburg CDP, PA,266
16462,0.00%,Abanda, AL,43
5938,25.07%,Abbeville, GA,"2,874"
6866,21.04%,Abbeville, MS,512
13965,3.82%,Abbeville, LA,"12,341"
22625,-10.84%,Abbeville, SC,"5,207"
22735,-11.15%,Abbeville, AL,"2,654"
11024,9.10%,Abbotsford, WI,"2,134"
3482,43.67%,Abbott, TX,431
15636,1.33%,Abbottstown, PA,917
24606,-17.19%,Abbyville, KS,106
24046,-15.20%,Abercrombie, ND,251
1217,97.12%,Aberdeen, NC,"6,702"
10080,11.25%,Aberdeen, ID,"2,047"
10888,9.41%,Aberdeen, SD,"26,979"
10914,9.36%,Aberdeen, MD,"15,137"
15926,0.87%,Aberdeen, OH,"1,617"
16162,0.50%,Aberdeen, WA,"16,544"
23823,-14.39%,Aberdeen, MS,"5,492"
24342,-16.24%,Aberdeen, IN,"1,831"
13860,3.96%,Aberdeen Gardens, WA,236
25845,-22.63%,Aberdeen Proving Ground, MD,"2,411"
8821,14.37%,Abernathy, TX,"3,247"
28819,-61.78%,Abeytas, NM,60
15259,1.85%,Abie, NE,110
13730,4.18%,Abilene, TX,"120,776"
14611,2.84%,Abilene, KS,"6,729"
13138,5.09%,Abingdon, VA,"8,176"
25932,-23.12%,Abingdon, IL,"2,777"
10562,10.11%,Abington, MA,"16,081"
28712,-58.09%,Abiquiu, NM,57
5353,28.36%,Abita Springs, LA,"2,512"
10675,9.86%,Abram, TX,"1,927"
9116,13.61%,Abrams, WI,384
23376,-12.97%,Absarokee, MT,"1,074"
10615,9.98%,Absecon, NJ,"8,400"
2474,58.25%,Acacia Villas, FL,614
26073,-23.95%,Acalanes Ridge, CA,"1,226"
7,3004.00%,Acampo, CA,776
23192,-12.46%,Accident, MD,309
3174,47.04%,Accokeek, MD,"10,806"
22803,-11.33%,Accomac, VA,485
6413,22.99%,Accord, NY,765
22061,-9.45%,Accoville, WV,460
23881,-14.58%,Acequia, ID,123
18252,-2.57%,Achille, OK,493
28408,-50.20%,Ackerly, TX,122
12025,7.08%,Ackerman, MS,"1,816"
6312,23.34%,Ackermanville, PA,687
23868,-14.54%,Ackley, IA,"1,546"
28572,-54.12%,Ackworth, IA,39
7718,17.87%,Acme, WA,310
6913,20.83%,Acomita Lake, NM,377
19911,-5.30%,Acres Green, CO,"3,035"
463,191.05%,Acton, CA,"6,956"
23103,-12.14%,Acushnet Center, MA,"2,786"
2511,57.72%,Acworth, GA,"21,169"
10849,9.49%,Ada, OH,"6,112"
11196,8.73%,Ada, OK,"17,061"
14703,2.72%,Ada, MN,"1,702"
17807,-1.85%,Ada, KS,53
3486,43.62%,Adair, IL,214
12588,6.08%,Adair, IA,890
13321,4.83%,Adair, OK,738
2165,64.37%,Adair Village, OR,881
1488,84.58%,Adairsville, GA,"4,692"
