Rank,AQI,City,State,Population
1,74.5,Three Rivers, CA,"2,278"
1,74.5,Kaweah, CA,0
3,72.6,Lemon Cove, CA,214
4,72.3,Running Springs, CA,"4,833"
4,72.3,Skyforest, CA,0
6,72.2,Calimesa, CA,"8,143"
7,71.5,Cherry Valley, CA,"6,823"
7,71.5,Oak Glen, CA,694
9,70.8,Bass Lake, CA,570
9,70.8,Coarsegold, CA,"1,172"
9,70.8,Yucaipa, CA,"52,406"
9,70.8,North Fork, CA,0
9,70.8,Wishon, CA,0
14,70.2,Moreno Valley, CA,"198,872"
15,69.9,Bear Valley Springs, CA,"5,058"
15,69.9,Keene, CA,325
15,69.9,Green Valley Lake, CA,0
18,69.5,Bryn Mawr, CA,0
18,69.5,Highland, CA,"54,032"
18,69.5,Loma Linda, CA,"23,648"
18,69.5,Mentone, CA,"9,388"
18,69.5,Redlands, CA,"69,787"
23,69.5,Bloomington, CA,"25,228"
23,69.5,March Arb, CA,"1,129"
23,69.5,Woodcrest, CA,"15,951"
23,69.5,March Air Reserve Base, CA,0
27,69.4,Angelus Oaks, CA,0
27,69.4,Caliente, CA,0
27,69.4,Forest Falls, CA,0
27,69.4,Quail Valley, CA,"1,639"
27,69.4,Sun City, CA,"17,773"
27,69.4,Banning, CA,"30,281"
27,69.4,Canyon Lake, CA,"10,810"
27,69.4,East Hemet, CA,"18,188"
27,69.4,Good Hope, CA,"8,911"
27,69.4,Green Acres, CA,"2,330"
27,69.4,Homeland, CA,"5,921"
27,69.4,Lake Mathews, CA,"5,518"
27,69.4,Lakeview, CA,"1,723"
27,69.4,Meadowbrook, CA,"3,447"
27,69.4,Mead Valley, CA,"19,851"
27,69.4,Menifee, CA,"81,658"
27,69.4,Nuevo, CA,"7,345"
27,69.4,Perris, CA,"71,377"
27,69.4,Romoland, CA,"1,682"
27,69.4,Valle Vista, CA,"15,995"
27,69.4,Winchester, CA,"2,717"
48,69.1,Beaumont, CA,"39,620"
48,69.1,Big Bear Lake, CA,"5,104"
48,69.1,Fawnskin, CA,0
51,69.0,Patton, CA,0
52,68.9,Highgrove, CA,"4,067"
53,68.8,Bodfish, CA,"1,961"
53,68.8,Mountain Mesa, CA,454
53,68.8,Squirrel Mountain Valley, CA,372
56,68.7,Colton, CA,"53,129"
56,68.7,Grand Terrace, CA,"12,252"
56,68.7,Lake Elsinore, CA,"56,243"
56,68.7,Lakeland Village, CA,"11,343"
56,68.7,Temescal Valley, CA,"22,535"
56,68.7,Warm Springs, CA,"3,163"
56,68.7,Wildomar, CA,"33,601"
63,68.6,Sugarloaf, CA,0
64,68.5,Big Bear City, CA,"12,563"
64,68.5,Hemet, CA,"81,203"
64,68.5,San Jacinto, CA,"45,497"
67,68.0,Springville, CA,502
67,68.0,Sunnyslope, CA,"5,153"
69,67.9,Auburn Lake Trails, CA,"3,839"
