Rank,Population Growth Rate,City,State,Population
1,"51,300.00%",Prudhoe Bay, AK,"2,570"
2,"14,753.85%",Short Pump, VA,"27,034"
3,"4,795.52%",Lake Royale, NC,"3,280"
4,"4,664.29%",Green Acres, ND,667
5,"4,264.23%",Maricopa, AZ,"45,388"
6,"3,982.26%",Pingree Grove, IL,"5,062"
7,"3,004.00%",Acampo, CA,776
8,"2,666.67%",Point Of Rocks, WY,83
9,"2,165.00%",La Paloma Ranchettes, TX,453
10,"2,030.65%",Pike Road, AL,"6,605"
11,"1,999.80%",Saratoga Springs, UT,"21,061"
12,"1,932.22%",Volo, IL,"3,658"
13,"1,869.23%",Little Browning, MT,256
14,"1,585.71%",Whites City, NM,118
15,"1,542.94%",Herriman, UT,"25,022"
16,"1,538.24%",Frierson, LA,557
17,"1,508.33%",Crystal Bay, NV,193
18,"1,500.00%",New Amsterdam, IN,16
19,"1,460.00%",Nottoway Court House, VA,78
20,"1,437.83%",Fate, TX,"7,643"
21,"1,407.12%",Hutto, TX,"18,839"
22,"1,387.50%",Moorefield Station, VA,833
23,"1,375.00%",Trail Side, CO,59
24,"1,374.46%",Meridian, CO,"2,713"
25,"1,347.06%",Kerr, MT,246
26,"1,311.11%",Edgewater Estates, TX,127
27,"1,300.00%",Arcola, VA,182
27,"1,300.00%",Boulevard, CA,434
29,"1,266.67%",Gulfcrest, AL,123
30,"1,257.14%",Nicasio, CA,95
31,"1,225.64%",Lockhart, SC,517
32,"1,200.00%",Maish Vaya, AZ,117
33,"1,187.88%",Two Strike, SD,425
34,"1,142.94%",Blythewood, SC,"2,113"
35,"1,100.00%",Crozier, AZ,24
36,"1,066.67%",Anzac Village, NM,140
37,"1,033.33%",Gila Crossing, AZ,544
38,"1,011.11%",Colorado Acres, TX,100
39,996.39%,Bluffton, SC,"13,979"
40,987.99%,Eagle Mountain, UT,"23,468"
41,918.18%,Tagg Flats, OK,112
42,877.78%,Bayport, FL,352
43,875.37%,Red Rock, AZ,"1,980"
44,872.73%,Sammy Martinez, TX,107
45,857.89%,Carrizo, AZ,182
46,853.19%,Summerset, SD,"2,240"
47,851.92%,Glen White, WV,495
48,850.00%,Crocker, SD,19
49,846.15%,Hogans Corner, WA,123
50,794.16%,Selma, TX,"7,046"
51,787.50%,Ali Molina, AZ,142
52,783.62%,La Paloma, TX,"3,128"
53,782.16%,Corona De Tucson, AZ,"7,172"
54,775.80%,Whitestown, IN,"4,125"
55,773.37%,Elmore, AL,"1,738"
56,769.19%,Clarksburg, MD,"15,941"
57,748.76%,Enterprise, NV,"124,564"
58,743.33%,Boulder, WY,253
59,742.11%,Tolu, KY,160
60,740.25%,Buckeye, AZ,"54,927"
61,734.60%,Sienna Plantation, TX,"15,824"
62,733.33%,Buck Meadows, CA,50
63,728.66%,Little Elm, TX,"30,213"
64,724.72%,Wesley Chapel, FL,"46,935"
65,716.00%,El Quiote, TX,204
66,715.58%,Sahuarita, AZ,"26,441"
67,712.50%,Mccartys Village, NM,130
68,705.88%,Alpine, CO,137
69,700.00%,Aurora Center, SD,56
70,694.73%,Fish Hawk, FL,"15,823"
71,690.73%,Lithia Springs, GA,"16,384"
72,690.30%,Leland, NC,"15,316"
73,673.33%,Organ, NM,116
74,670.00%,Anegam, AZ,77
75,660.87%,Big Point, MS,875
76,660.00%,Belville, NC,"2,166"
77,651.43%,Mulat, FL,263
78,649.39%,Cibolo, TX,"22,744"
79,648.48%,Bee Cave, TX,"4,910"
80,643.51%,Anna, TX,"9,108"
