Rank,Land Area (sq mi),City,State,Population
1,"2,870.34",Sitka, AK,"8,957"
2,"2,701.93",Juneau, AK,"32,200"
3,"2,541.48",Wrangell, AK,"2,383"
4,"1,704.68",Anchorage, AK,"298,178"
5,747.00,Jacksonville, FL,"837,533"
6,736.53,Anaconda-Deer Lodge County, MT,"9,243"
7,716.25,Butte-Silver Bow, MT,"33,481"
8,690.90,Willow, AK,"1,944"
9,686.96,Healy, AK,"1,146"
10,606.41,Oklahoma City, OK,"600,729"
11,599.59,Houston, TX,"2,167,988"
12,566.88,Deltana, AK,"2,122"
13,516.70,Phoenix, AZ,"1,490,758"
14,475.13,Nashville-Davidson Metropolitan Government, TN,"624,261"
15,468.67,Los Angeles, CA,"3,862,210"
16,462.06,Petersville, AK,4
17,460.93,San Antonio, TX,"1,385,438"
18,450.32,Mendeltna, AK,25
19,439.17,Skwentna, AK,47
20,400.17,Suffolk, VA,"85,477"
21,378.56,Prudhoe Bay, AK,"2,570"
22,375.26,Buckeye, AZ,"54,927"
23,368.43,Chistochina, AK,105
24,361.43,Indianapolis, IN,"835,097"
25,340.80,Chesapeake, VA,"228,168"
26,340.52,Dallas, TX,"1,240,985"
27,339.82,Fort Worth, TX,"778,573"
28,325.25,Louisville/Jefferson County Metro Government, KY,"605,762"
29,325.19,San Diego, CA,"1,341,510"
30,319.87,Trapper Creek, AK,448
31,315.05,Memphis, TN,"656,715"
32,314.95,Kansas City, MO,"465,005"
33,305.01,Paxson, AK,34
34,302.64,New York, NY,"8,354,889"
35,302.47,Augusta-Richmond County Consolidated Government, GA,"196,551"
36,301.73,Pahrump, NV,"35,009"
37,300.05,Mentasta Lake, AK,231
38,297.90,Austin, TX,"864,218"
39,297.68,Charlotte, NC,"774,807"
40,294.96,Dot Lake, AK,13
41,283.65,Lexington-Fayette, KY,"304,473"
42,275.76,Susitna North, AK,"1,420"
43,265.16,Livengood, AK,10
44,255.24,El Paso, TX,"669,771"
45,252.80,Slana, AK,139
46,249.02,Virginia Beach, VA,"445,623"
47,248.74,Cusseta, GA,"11,846"
48,247.92,Central, AK,91
49,247.52,Ugashik, AK,19
50,243.89,Valle, AZ,481
51,232.11,Glacier View, AK,278
52,227.63,Chicago, IL,"2,712,608"
53,226.71,Tucson, AZ,"525,031"
54,225.30,Owyhee, NV,"1,276"
55,221.61,Lake Minchumina, AK,19
56,217.17,Columbus, OH,"811,943"
57,216.39,Columbus, GA,"198,247"
58,216.24,Valdez, AK,"4,002"
59,214.36,Harding-Birch Lakes, AK,155
60,209.12,Webster County Unified Government, GA,"2,744"
61,209.05,Huntsville, AL,"184,132"
62,208.52,Boulder City, NV,"15,162"
63,207.18,Ninilchik, AK,730
64,203.52,California City, CA,"13,243"
65,196.75,Tulsa, OK,"395,599"
66,194.54,Colorado Springs, CO,"433,547"
67,194.52,Kenny Lake, AK,131
68,191.48,Goodyear, AZ,"70,148"
69,188.12,Nelson Lagoon, AK,39
70,187.73,Albuquerque, NM,"553,576"
71,186.38,Eureka Roadhouse, AK,29
72,183.92,Scottsdale, AZ,"223,519"
73,181.83,Hibbing, MN,"16,330"
74,178.76,Norman, OK,"115,521"
75,178.25,Susitna, AK,18
76,176.53,San Jose, CA,"986,320"
77,176.29,Mckinley Park, AK,429
78,174.40,Peoria, AZ,"160,231"
79,174.11,Beatty, NV,"1,021"
80,172.34,Parks, AZ,"1,456"
81,169.88,Rampart, AK,15
82,169.42,New Orleans, LA,"368,471"
83,168.84,Chase, AK,22
84,168.13,King Salmon, AK,335
85,160.61,Corpus Christi, TX,"312,680"
86,160.25,Flat, AK,4
87,159.92,Nabesna, AK,5
88,159.87,Fort Greely, AK,560
89,159.57,Montgomery, AL,"204,095"
90,159.29,Wichita, KS,"385,518"
91,159.01,Tonsina, AK,16
92,154.73,Aurora, CO,"339,480"
93,153.00,Denver, CO,"633,777"
94,152.48,Point Mackenzie, AK,473
95,152.27,Sierra Vista, AZ,"45,365"
96,151.30,Alcan Border, AK,33
97,151.24,Georgetown-Quitman County Unified Government, GA,"2,407"
98,150.82,Moapa Town, NV,"1,087"
99,149.48,Mccarthy, AK,133
100,146.07,Birmingham, AL,"211,705"
101,145.84,Fayetteville, NC,"202,421"
102,144.66,Carson City, NV,"54,634"
103,143.33,Canyon Lake, TX,"21,469"
104,142.91,Vicksburg, AZ,"1,025"
105,142.90,Raleigh, NC,"423,287"
106,142.54,Attu Station, AK,11
107,142.16,Bakersfield, CA,"358,700"
108,140.18,Dry Creek, AK,88
109,139.11,Mobile, AL,"194,942"
110,138.75,Detroit, MI,"695,437"
111,137.45,Bunnell, FL,"2,715"
112,137.15,Chattanooga, TN,"171,863"
113,136.45,Mesa, AZ,"452,091"
114,136.22,Bouse, AZ,662
115,135.81,Las Vegas, NV,"597,353"
116,134.10,Philadelphia, PA,"1,546,920"
117,133.43,Portland, OR,"602,568"
118,133.32,Tok, AK,"1,304"
119,133.15,Atlanta, GA,"440,641"
120,132.61,Minto, AK,252
121,132.45,Winston Salem, NC,"234,469"
122,132.33,Brownsville, TX,"179,834"
123,132.21,Columbia, SC,"131,331"
124,132.05,Nikolski, AK,34
125,129.22,Lynchburg, Moore County Metropolitan Government,"6,348"
126,127.09,Omaha, NE,"435,454"
127,126.95,Lutak, AK,12
128,126.52,Greensboro, NC,"276,225"
129,125.39,Fox River, AK,685
130,124.81,Kansas City, KS,"147,598"
131,122.41,Lubbock, TX,"236,868"
132,122.12,Fernley, NV,"19,184"
133,121.47,Marana, AZ,"37,028"
134,120.62,Smith Valley, NV,"1,339"
135,120.28,Yuma, AZ,"93,078"
136,120.02,Big Sky, MT,"2,694"
137,119.43,Hobart Bay, AK,1
138,119.20,Little Rock, AR,"196,188"
139,117.30,Cantwell, AK,197
140,116.35,Athens-Clarke County Unified Government, GA,"118,514"
141,116.11,Big Lake, AK,"3,959"
142,115.95,Tuntutuliak, AK,437
143,115.87,Chicken, AK,7
144,115.07,Glennallen, AK,389
145,114.19,Hartsville/Trousdale County, TN,"7,859"
146,113.95,Port Saint Lucie, FL,"169,260"
147,113.41,Tampa, FL,"348,934"
148,111.96,Fresno, CA,"506,132"
149,111.78,Unalaska, AK,"4,536"
150,111.51,Eloy, AZ,"17,062"
151,111.11,Salt Lake City, UT,"189,267"
152,111.05,Jackson, MS,"173,631"
153,110.90,Sierra Vista Southeast, AZ,"14,501"
154,110.62,Fort Wayne, IN,"255,784"
155,109.67,Casa Grande, AZ,"50,316"
156,108.98,Charleston, SC,"125,458"
157,107.73,Henderson, NV,"266,245"
158,107.37,Durham, NC,"240,107"
159,106.79,Abilene, TX,"120,776"
160,106.04,Circle, AK,103
161,105.96,Palmdale, CA,"155,810"
162,105.91,Babbitt, MN,"1,456"
