Rank,Water Area (sq mi),City,State,Population
1,"1,941.05",Sitka, AK,"8,957"
2,920.57,Wrangell, AK,"2,383"
3,551.96,Juneau, AK,"32,200"
4,328.98,Corpus Christi, TX,"312,680"
5,256.32,Anchorage, AK,"298,178"
6,255.15,Saint Paul, AK,612
7,248.32,Virginia Beach, VA,"445,623"
8,185.02,San Francisco, CA,"829,072"
9,181.83,Togiak, AK,765
10,180.79,New Orleans, LA,"368,471"
11,178.53,Prudhoe Bay, AK,"2,570"
12,168.12,Galveston, TX,"48,513"
13,165.84,New York, NY,"8,354,889"
14,159.60,Dauphin Island, AL,"1,291"
15,147.55,Saint George, AK,33
16,127.63,Jacksonville, FL,"837,533"
17,121.74,Texas City, TX,"45,802"
18,114.35,Pilot Point, AK,47
19,101.04,Egegik, AK,74
20,100.88,Unalaska, AK,"4,536"
21,84.89,Hampton, VA,"136,904"
22,75.86,Saint Petersburg, FL,"248,429"
23,67.14,Port Arthur, TX,"54,685"
24,63.11,Poquoson, VA,"12,103"
25,62.61,Hooper, UT,"7,720"
26,61.83,Tampa, FL,"348,934"
27,61.07,Islandia, FL,18
28,59.64,Valdez, AK,"4,002"
29,58.86,Nelson Lagoon, AK,39
30,58.71,Seattle, WA,"637,850"
31,50.76,Newport News, VA,"181,362"
32,48.13,Portland, ME,"66,317"
33,47.21,San Diego, CA,"1,341,510"
34,45.33,Dallas, TX,"1,240,985"
35,43.88,Vashon, WA,"10,447"
36,43.79,Hutchinson Island South, FL,"4,877"
37,42.23,Norfolk, VA,"244,745"
38,41.36,Boston, MA,"639,594"
39,41.22,Toksook Bay, AK,650
40,41.14,False Pass, AK,31
41,40.67,Mobile, AL,"194,942"
42,39.80,Aransas Pass, TX,"8,287"
43,37.41,Bainbridge Island, WA,"23,206"
44,34.18,Adak, AK,114
45,34.02,Los Angeles, CA,"3,862,210"
46,31.96,Ocean City, MD,"7,093"
47,31.64,Hitchcock, TX,"7,206"
48,29.67,Merritt Island, FL,"35,063"
49,29.17,Newport Beach, CA,"86,594"
50,29.04,Fire Island, NY,319
51,28.99,Biddeford, ME,"21,303"
52,28.92,Suffolk, VA,"85,477"
53,28.22,Chincoteague, VA,"2,933"
54,27.91,Houston, TX,"2,167,988"
55,27.77,Hilton Head Island, SC,"38,497"
56,27.38,Atka, AK,66
57,25.62,Lake Louise, AK,42
58,25.09,Wainwright, AK,482
59,24.73,Coronado, CA,"24,333"
60,24.40,Coral Gables, FL,"49,319"
61,24.06,Hull, MA,"10,324"
62,23.06,Suamico, WI,"11,621"
63,22.99,Dana Point, CA,"33,861"
64,22.96,Lake Minchumina, AK,19
65,22.50,Santa Barbara, CA,"89,669"
66,22.41,Richmond, CA,"106,469"
67,22.22,Oakland, CA,"402,339"
68,21.72,Nashville-Davidson Metropolitan Government, TN,"624,261"
69,21.50,Sand Point, AK,"1,371"
70,21.02,South San Francisco, CA,"65,537"
71,20.54,Midway CDP, FL,"17,640"
72,20.19,Miami, FL,"416,432"
73,19.64,Duluth, MN,"86,239"
74,19.45,Gambell, AK,702
75,19.05,Ugashik, AK,19
76,18.88,Gulf Breeze, FL,"5,984"
77,18.87,Vallejo, CA,"118,078"
78,18.69,Superior, WI,"26,932"
